;IBERDROLA;SANTANDER;INDITEX
26/09/2011;2,50;3,69;13,04
27/09/2011;2,61;3,85;13,10
28/09/2011;2,60;3,80;12,89
29/09/2011;2,62;3,86;13,05
30/09/2011;2,60;3,88;12,87
03/10/2011;2,55;3,75;12,57
04/10/2011;2,53;3,69;12,18
05/10/2011;2,62;3,80;12,50
06/10/2011;2,69;3,91;12,62
07/10/2011;2,71;3,95;12,78
10/10/2011;2,73;3,96;13,00
11/10/2011;2,69;3,93;13,24
12/10/2011;2,74;4,00;13,19
13/10/2011;2,73;3,93;13,46
14/10/2011;2,73;3,89;13,44
17/10/2011;2,70;3,86;13,52
18/10/2011;2,66;3,87;13,28
19/10/2011;2,68;3,92;13,10
20/10/2011;2,59;3,73;13,38
21/10/2011;2,68;3,84;13,70
24/10/2011;2,71;3,90;13,67
25/10/2011;2,67;3,86;13,61
26/10/2011;2,66;3,81;13,58
27/10/2011;2,79;4,10;13,66
28/10/2011;2,76;4,09;13,45
31/10/2011;2,69;3,93;13,15
01/11/2011;2,55;3,75;12,79
02/11/2011;2,55;3,70;12,52
03/11/2011;2,60;3,74;12,87
04/11/2011;2,51;3,71;12,98
07/11/2011;2,54;3,62;12,91
08/11/2011;2,53;3,64;12,96
09/11/2011;2,46;3,55;12,85
10/11/2011;2,45;3,55;12,71
11/11/2011;2,54;3,70;13,16
14/11/2011;2,48;3,60;13,09
15/11/2011;2,43;3,51;13,06
16/11/2011;2,43;3,57;12,99
17/11/2011;2,45;3,52;13,09
18/11/2011;2,50;3,55;13,05
21/11/2011;2,39;3,43;12,72
22/11/2011;2,36;3,33;12,83
23/11/2011;2,34;3,27;12,39
24/11/2011;2,33;3,28;12,25
25/11/2011;2,35;3,33;12,00
28/11/2011;2,46;3,50;12,24
29/11/2011;2,46;3,50;12,06
30/11/2011;2,54;3,57;12,61
01/12/2011;2,55;3,54;12,73
02/12/2011;2,57;3,68;12,71
05/12/2011;2,62;3,78;12,65
06/12/2011;2,59;3,80;12,71
07/12/2011;2,58;3,79;12,65
08/12/2011;2,51;3,72;12,40
09/12/2011;2,58;3,80;12,68
12/12/2011;2,50;3,64;12,51
13/12/2011;2,47;3,59;12,34
14/12/2011;2,41;3,50;12,55
15/12/2011;2,43;3,56;12,84
16/12/2011;2,41;3,57;12,45
19/12/2011;2,42;3,57;12,50
20/12/2011;2,46;3,69;12,55
21/12/2011;2,43;3,64;12,43
22/12/2011;2,46;3,68;12,48
23/12/2011;2,48;3,72;12,62
26/12/2011;2,48;3,72;12,62
27/12/2011;2,48;3,70;12,62
28/12/2011;2,43;3,62;12,47
29/12/2011;2,46;3,69;12,63
30/12/2011;2,48;3,74;12,66
02/01/2012;2,54;3,80;12,85
03/01/2012;2,55;3,84;12,78
04/01/2012;2,49;3,69;12,82
05/01/2012;2,44;3,52;12,58
06/01/2012;2,42;3,47;12,61
09/01/2012;2,41;3,47;12,80
10/01/2012;2,48;3,66;13,09
11/01/2012;2,48;3,64;13,08
12/01/2012;2,46;3,62;12,95
13/01/2012;2,47;3,66;12,91
16/01/2012;2,47;3,68;13,01
17/01/2012;2,48;3,72;13,19
18/01/2012;2,41;3,65;13,30
19/01/2012;2,45;3,83;13,23
20/01/2012;2,41;3,85;13,39
23/01/2012;2,40;3,89;13,44
24/01/2012;2,39;3,89;13,45
25/01/2012;2,36;3,92;13,41
26/01/2012;2,43;4,01;13,68
27/01/2012;2,41;4,00;13,42
30/01/2012;2,38;3,89;13,41
31/01/2012;2,38;3,87;13,34
01/02/2012;2,43;4,01;13,58
02/02/2012;2,44;4,10;13,71
03/02/2012;2,47;4,18;13,65
06/02/2012;2,48;4,23;13,49
07/02/2012;2,48;4,26;13,48
08/02/2012;2,48;4,24;13,52
09/02/2012;2,50;4,29;13,55
10/02/2012;2,47;4,21;13,71
13/02/2012;2,46;4,22;13,61
14/02/2012;2,48;4,18;13,62
15/02/2012;2,46;4,20;13,65
16/02/2012;2,44;4,09;13,55
17/02/2012;2,46;4,17;13,64
20/02/2012;2,51;4,27;13,87
21/02/2012;2,50;4,26;13,75
22/02/2012;2,47;4,15;13,75
23/02/2012;2,40;4,09;13,85
24/02/2012;2,38;4,09;13,81
27/02/2012;2,37;4,08;13,81
28/02/2012;2,36;4,08;13,90
29/02/2012;2,35;4,05;13,86
01/03/2012;2,38;4,12;13,81
02/03/2012;2,38;4,14;13,87
05/03/2012;2,37;4,05;13,73
06/03/2012;2,31;3,87;13,32
07/03/2012;2,29;3,90;13,39
08/03/2012;2,31;4,02;13,57
09/03/2012;2,30;3,98;13,52
12/03/2012;2,26;3,89;13,60
13/03/2012;2,32;4,01;13,79
14/03/2012;2,32;4,04;13,96
15/03/2012;2,34;4,06;14,02
16/03/2012;2,40;4,12;14,26
19/03/2012;2,43;4,21;14,31
20/03/2012;2,43;4,16;14,35
21/03/2012;2,39;4,06;14,44
22/03/2012;2,37;3,97;14,32
23/03/2012;2,33;3,93;14,30
26/03/2012;2,30;3,89;14,42
27/03/2012;2,28;3,84;14,38
28/03/2012;2,24;3,76;14,41
29/03/2012;2,21;3,69;14,17
30/03/2012;2,25;3,75;14,36
02/04/2012;2,24;3,76;14,70
03/04/2012;2,19;3,61;14,60
04/04/2012;2,13;3,52;14,24
05/04/2012;2,11;3,52;14,33
06/04/2012;2,11;3,52;14,33
09/04/2012;2,11;3,52;14,33
10/04/2012;2,05;3,38;13,91
11/04/2012;2,09;3,45;13,98
12/04/2012;2,06;3,40;14,16
13/04/2012;2,00;3,29;13,76
16/04/2012;2,00;3,27;13,95
17/04/2012;2,06;3,40;14,27
18/04/2012;1,90;3,26;13,86
19/04/2012;1,84;3,14;13,76
20/04/2012;1,90;3,22;13,94
23/04/2012;1,84;3,17;13,65
24/04/2012;1,87;3,26;13,73
25/04/2012;1,90;3,33;13,53
26/04/2012;1,88;3,22;13,64
27/04/2012;1,90;3,28;13,67
30/04/2012;1,86;3,20;13,59
01/05/2012;1,86;3,20;13,59
02/05/2012;1,80;3,09;13,51
03/05/2012;1,82;3,10;13,81
04/05/2012;1,84;3,17;13,49
07/05/2012;1,89;3,32;13,60
08/05/2012;1,86;3,30;13,51
09/05/2012;1,80;3,15;13,51
10/05/2012;1,86;3,33;13,55
11/05/2012;1,85;3,30;13,74
14/05/2012;1,80;3,20;13,49
15/05/2012;1,76;3,12;13,79
16/05/2012;1,75;3,06;13,52
17/05/2012;1,73;3,01;13,50
18/05/2012;1,79;3,10;13,43
21/05/2012;1,77;3,06;13,30
22/05/2012;1,82;3,13;13,68
23/05/2012;1,76;3,04;13,56
24/05/2012;1,79;3,08;13,76
25/05/2012;1,79;3,09;13,81
28/05/2012;1,72;2,99;13,80
29/05/2012;1,67;2,91;13,82
30/05/2012;1,61;2,88;13,35
31/05/2012;1,63;2,91;13,36
01/06/2012;1,63;2,93;13,00
04/06/2012;1,70;3,07;13,00
05/06/2012;1,68;3,11;13,07
06/06/2012;1,73;3,19;13,31
07/06/2012;1,70;3,24;13,47
08/06/2012;1,79;3,29;13,48
11/06/2012;1,77;3,28;13,48
12/06/2012;1,78;3,26;13,52
13/06/2012;1,78;3,31;15,08
14/06/2012;1,80;3,37;15,33
15/06/2012;1,85;3,34;15,22
18/06/2012;1,75;3,18;15,13
19/06/2012;1,84;3,27;15,60
